set_name,english_release_date,card_number,card_name,rarity
Diamond & Pearl,2007-05-23,1,Dialga,
Diamond & Pearl,2007-05-23,2,Dusknoir,
Diamond & Pearl,2007-05-23,3,Electivire,
Diamond & Pearl,2007-05-23,4,Empoleon,
Diamond & Pearl,2007-05-23,5,Infernape,
Diamond & Pearl,2007-05-23,6,Lucario,
Diamond & Pearl,2007-05-23,7,Luxray,
Diamond & Pearl,2007-05-23,8,Magnezone,
Diamond & Pearl,2007-05-23,9,Manaphy,
Diamond & Pearl,2007-05-23,10,Mismagius,
Diamond & Pearl,2007-05-23,11,Palkia,
Diamond & Pearl,2007-05-23,12,Rhyperior,
Diamond & Pearl,2007-05-23,13,Roserade,
Diamond & Pearl,2007-05-23,14,Shiftry,
Diamond & Pearl,2007-05-23,15,Skuntank,
Diamond & Pearl,2007-05-23,16,Staraptor,
Diamond & Pearl,2007-05-23,17,Torterra,
Diamond & Pearl,2007-05-23,18,Azumarill,
Diamond & Pearl,2007-05-23,19,Beautifly,
Diamond & Pearl,2007-05-23,20,Bibarel,
Diamond & Pearl,2007-05-23,21,Carnivine,
Diamond & Pearl,2007-05-23,22,Clefable,
Diamond & Pearl,2007-05-23,23,Drapion,
Diamond & Pearl,2007-05-23,24,Drifblim,
Diamond & Pearl,2007-05-23,25,Dustox,
Diamond & Pearl,2007-05-23,26,Floatzel,
Diamond & Pearl,2007-05-23,27,Gengar,
Diamond & Pearl,2007-05-23,28,Heracross,
Diamond & Pearl,2007-05-23,29,Hippowdon,
Diamond & Pearl,2007-05-23,30,Lopunny,
Diamond & Pearl,2007-05-23,31,Machamp,
Diamond & Pearl,2007-05-23,32,Medicham,
Diamond & Pearl,2007-05-23,33,Munchlax,
Diamond & Pearl,2007-05-23,34,Noctowl,
Diamond & Pearl,2007-05-23,35,Pachirisu,
Diamond & Pearl,2007-05-23,36,Purugly,
Diamond & Pearl,2007-05-23,37,Snorlax,
Diamond & Pearl,2007-05-23,38,Steelix,
Diamond & Pearl,2007-05-23,39,Vespiquen,
