set_name,english_release_date,card_number,card_name,rarity
Great Encounters,2008-02-13,1,Blaziken,
Great Encounters,2008-02-13,2,Cresselia,
Great Encounters,2008-02-13,3,Darkrai,
Great Encounters,2008-02-13,4,Darkrai,
Great Encounters,2008-02-13,5,Pachirisu,
Great Encounters,2008-02-13,6,Porygon-Z,
Great Encounters,2008-02-13,7,Rotom,
Great Encounters,2008-02-13,8,Sceptile,
Great Encounters,2008-02-13,9,Swampert,
Great Encounters,2008-02-13,10,Tangrowth,
Great Encounters,2008-02-13,11,Togekiss,
Great Encounters,2008-02-13,12,Altaria,
Great Encounters,2008-02-13,13,Beedrill,
Great Encounters,2008-02-13,14,Butterfree,
Great Encounters,2008-02-13,15,Claydol,
Great Encounters,2008-02-13,16,Dialga,
Great Encounters,2008-02-13,17,Exploud,
Great Encounters,2008-02-13,18,Houndoom,
Great Encounters,2008-02-13,19,Hypno,
Great Encounters,2008-02-13,20,Kingler,
Great Encounters,2008-02-13,21,Lapras,
Great Encounters,2008-02-13,22,Latias,
Great Encounters,2008-02-13,23,Latios,
Great Encounters,2008-02-13,24,Mawile,
Great Encounters,2008-02-13,25,Milotic,
Great Encounters,2008-02-13,26,Palkia,
Great Encounters,2008-02-13,27,Primeape,
Great Encounters,2008-02-13,28,Slowking,
Great Encounters,2008-02-13,29,Unown H,
Great Encounters,2008-02-13,30,Wailord,
Great Encounters,2008-02-13,31,Weezing,
Great Encounters,2008-02-13,32,Wigglytuff,
Great Encounters,2008-02-13,33,Arbok,
Great Encounters,2008-02-13,34,Cacturne,
Great Encounters,2008-02-13,35,Combusken,
Great Encounters,2008-02-13,36,Delibird,
Great Encounters,2008-02-13,37,Floatzel,
Great Encounters,2008-02-13,38,Gorebyss,
Great Encounters,2008-02-13,39,Granbull,
Great Encounters,2008-02-13,40,Grovyle,
Great Encounters,2008-02-13,41,Hariyama,
Great Encounters,2008-02-13,42,Huntail,
Great Encounters,2008-02-13,43,Linoone,
Great Encounters,2008-02-13,44,Loudred,
Great Encounters,2008-02-13,45,Magcargo,
Great Encounters,2008-02-13,46,Marshtomp,
Great Encounters,2008-02-13,47,Metapod,
Great Encounters,2008-02-13,48,Pelipper,
Great Encounters,2008-02-13,49,Porygon2,
Great Encounters,2008-02-13,50,Purugly,
Great Encounters,2008-02-13,51,Relicanth,
Great Encounters,2008-02-13,52,Seviper,
Great Encounters,2008-02-13,53,Skarmory,
Great Encounters,2008-02-13,54,Slowbro,
Great Encounters,2008-02-13,55,Togetic,
Great Encounters,2008-02-13,56,Unown F,
Great Encounters,2008-02-13,57,Unown G,
Great Encounters,2008-02-13,58,Wailmer,
Great Encounters,2008-02-13,59,Zangoose,
Great Encounters,2008-02-13,60,Baltoy,
Great Encounters,2008-02-13,61,Buizel,
Great Encounters,2008-02-13,62,Cacnea,
Great Encounters,2008-02-13,63,Caterpie,
Great Encounters,2008-02-13,64,Clamperl,
Great Encounters,2008-02-13,65,Drowzee,
Great Encounters,2008-02-13,66,Ekans,
Great Encounters,2008-02-13,67,Feebas,
Great Encounters,2008-02-13,68,Glameow,
Great Encounters,2008-02-13,69,Houndour,
Great Encounters,2008-02-13,70,Igglybuff,
Great Encounters,2008-02-13,71,Illumise,
Great Encounters,2008-02-13,72,Jigglypuff,
Great Encounters,2008-02-13,73,Kakuna,
Great Encounters,2008-02-13,74,Koffing,
Great Encounters,2008-02-13,75,Krabby,
Great Encounters,2008-02-13,76,Lunatone,
Great Encounters,2008-02-13,77,Luvdisc,
Great Encounters,2008-02-13,78,Makuhita,
Great Encounters,2008-02-13,79,Mankey,
Great Encounters,2008-02-13,80,Mudkip,
Great Encounters,2008-02-13,81,Porygon,
Great Encounters,2008-02-13,82,Slowpoke,
Great Encounters,2008-02-13,83,Slugma,
Great Encounters,2008-02-13,84,Snubbull,
Great Encounters,2008-02-13,85,Solrock,
Great Encounters,2008-02-13,86,Swablu,
Great Encounters,2008-02-13,87,Tangela,
Great Encounters,2008-02-13,88,Togepi,
Great Encounters,2008-02-13,89,Torchic,
Great Encounters,2008-02-13,90,Treecko,
Great Encounters,2008-02-13,91,Unown L,
Great Encounters,2008-02-13,92,Volbeat,
Great Encounters,2008-02-13,93,Weedle,
Great Encounters,2008-02-13,94,Whismur,
Great Encounters,2008-02-13,95,Wingull,
Great Encounters,2008-02-13,96,Zigzagoon,
Great Encounters,2008-02-13,97,Amulet Coin,
Great Encounters,2008-02-13,98,Felicity's Drawing,
Great Encounters,2008-02-13,99,Leftovers,
Great Encounters,2008-02-13,100,Moonlight Stadium,
Great Encounters,2008-02-13,101,Premier Ball,
Great Encounters,2008-02-13,102,Rare Candy,
Great Encounters,2008-02-13,103,Cresselia LV. X,
Great Encounters,2008-02-13,104,Darkrai LV. X,
Great Encounters,2008-02-13,105,Dialga LV. X,
Great Encounters,2008-02-13,106,Palkia LV. X,
