set_name,english_release_date,card_number,card_name,rarity
Legends Awakened,2008-08-20,1,Deoxys Normal Forme,
Legends Awakened,2008-08-20,2,Dragonite,
Legends Awakened,2008-08-20,3,Froslass,
Legends Awakened,2008-08-20,4,Giratina,
Legends Awakened,2008-08-20,5,Gliscor,
Legends Awakened,2008-08-20,6,Heatran,
Legends Awakened,2008-08-20,7,Kingdra,
Legends Awakened,2008-08-20,8,Luxray,
Legends Awakened,2008-08-20,9,Mamoswine,
Legends Awakened,2008-08-20,10,Metagross,
Legends Awakened,2008-08-20,11,Mewtwo,
Legends Awakened,2008-08-20,12,Politoed,
Legends Awakened,2008-08-20,13,Probopass,
Legends Awakened,2008-08-20,14,Rayquaza,
Legends Awakened,2008-08-20,15,Regigigas,
Legends Awakened,2008-08-20,16,Spiritomb,
Legends Awakened,2008-08-20,17,Yanmega,
Legends Awakened,2008-08-20,18,Armaldo,
Legends Awakened,2008-08-20,19,Azelf,
Legends Awakened,2008-08-20,20,Bellossom,
Legends Awakened,2008-08-20,21,Cradily,
Legends Awakened,2008-08-20,22,Crawdaunt,
Legends Awakened,2008-08-20,23,Delcatty,
Legends Awakened,2008-08-20,24,Deoxys Attack Forme,
Legends Awakened,2008-08-20,25,Deoxys Defense Forme,
Legends Awakened,2008-08-20,26,Deoxys Speed Forme,
Legends Awakened,2008-08-20,27,Ditto,
Legends Awakened,2008-08-20,28,Forretress,
Legends Awakened,2008-08-20,29,Groudon,
Legends Awakened,2008-08-20,30,Heatran,
Legends Awakened,2008-08-20,31,Jirachi,
Legends Awakened,2008-08-20,32,Kyogre,
Legends Awakened,2008-08-20,33,Lopunny,
Legends Awakened,2008-08-20,34,Mesprit,
Legends Awakened,2008-08-20,35,Poliwrath,
Legends Awakened,2008-08-20,36,Regice,
Legends Awakened,2008-08-20,37,Regigigas,
Legends Awakened,2008-08-20,38,Regirock,
Legends Awakened,2008-08-20,39,Registeel,
Legends Awakened,2008-08-20,40,Shedinja,
Legends Awakened,2008-08-20,41,Torkoal,
Legends Awakened,2008-08-20,42,Unown !,
Legends Awakened,2008-08-20,43,Uxie,
Legends Awakened,2008-08-20,44,Victreebel,
Legends Awakened,2008-08-20,45,Vileplume,
Legends Awakened,2008-08-20,46,Anorith,
Legends Awakened,2008-08-20,47,Camerupt,
Legends Awakened,2008-08-20,48,Castform,
Legends Awakened,2008-08-20,49,Castform Rain Form,
Legends Awakened,2008-08-20,50,Castform Snow-Cloud Form,
Legends Awakened,2008-08-20,51,Castform Sunny Form,
Legends Awakened,2008-08-20,52,Dragonair,
Legends Awakened,2008-08-20,53,Drifblim,
Legends Awakened,2008-08-20,54,Exeggutor,
Legends Awakened,2008-08-20,55,Gliscor,
Legends Awakened,2008-08-20,56,Grumpig,
Legends Awakened,2008-08-20,57,Houndoom,
Legends Awakened,2008-08-20,58,Lanturn,
Legends Awakened,2008-08-20,59,Lanturn,
Legends Awakened,2008-08-20,60,Ledian,
Legends Awakened,2008-08-20,61,Lucario,
Legends Awakened,2008-08-20,62,Luxio,
Legends Awakened,2008-08-20,63,Marowak,
Legends Awakened,2008-08-20,64,Metang,
Legends Awakened,2008-08-20,65,Metang,
Legends Awakened,2008-08-20,66,Mightyena,
Legends Awakened,2008-08-20,67,Ninjask,
Legends Awakened,2008-08-20,68,Persian,
Legends Awakened,2008-08-20,69,Piloswine,
Legends Awakened,2008-08-20,70,Seadra,
