set_name,english_release_date,card_number,card_name,rarity
Majestic Dawn,2008-05-21,1,Articuno,
Majestic Dawn,2008-05-21,2,Cresselia,
Majestic Dawn,2008-05-21,3,Darkrai,
Majestic Dawn,2008-05-21,4,Dialga,
Majestic Dawn,2008-05-21,5,Glaceon,
Majestic Dawn,2008-05-21,6,Kabutops,
Majestic Dawn,2008-05-21,7,Leafeon,
Majestic Dawn,2008-05-21,8,Manaphy,
Majestic Dawn,2008-05-21,9,Mewtwo,
Majestic Dawn,2008-05-21,10,Moltres,
Majestic Dawn,2008-05-21,11,Palkia,
Majestic Dawn,2008-05-21,12,Phione,
Majestic Dawn,2008-05-21,13,Rotom,
Majestic Dawn,2008-05-21,14,Zapdos,
Majestic Dawn,2008-05-21,15,Aerodactyl,
Majestic Dawn,2008-05-21,16,Bronzong,
Majestic Dawn,2008-05-21,17,Empoleon,
Majestic Dawn,2008-05-21,18,Espeon,
Majestic Dawn,2008-05-21,19,Flareon,
Majestic Dawn,2008-05-21,20,Glaceon,
Majestic Dawn,2008-05-21,21,Hippowdon,
Majestic Dawn,2008-05-21,22,Infernape,
Majestic Dawn,2008-05-21,23,Jolteon,
Majestic Dawn,2008-05-21,24,Leafeon,
Majestic Dawn,2008-05-21,25,Minun,
Majestic Dawn,2008-05-21,26,Omastar,
Majestic Dawn,2008-05-21,27,Phione,
Majestic Dawn,2008-05-21,28,Plusle,
Majestic Dawn,2008-05-21,29,Scizor,
Majestic Dawn,2008-05-21,30,Torterra,
Majestic Dawn,2008-05-21,31,Toxicroak,
Majestic Dawn,2008-05-21,32,Umbreon,
Majestic Dawn,2008-05-21,33,Unown P,
Majestic Dawn,2008-05-21,34,Vaporeon,
Majestic Dawn,2008-05-21,35,Ambipom,
Majestic Dawn,2008-05-21,36,Fearow,
Majestic Dawn,2008-05-21,37,Grotle,
Majestic Dawn,2008-05-21,38,Kangaskhan,
Majestic Dawn,2008-05-21,39,Lickitung,
Majestic Dawn,2008-05-21,40,Manectric,
Majestic Dawn,2008-05-21,41,Monferno,
Majestic Dawn,2008-05-21,42,Mothim,
Majestic Dawn,2008-05-21,43,Pachirisu,
Majestic Dawn,2008-05-21,44,Prinplup,
Majestic Dawn,2008-05-21,45,Raichu,
Majestic Dawn,2008-05-21,46,Scyther,
Majestic Dawn,2008-05-21,47,Staravia,
Majestic Dawn,2008-05-21,48,Sudowoodo,
Majestic Dawn,2008-05-21,49,Unown Q,
Majestic Dawn,2008-05-21,50,Aipom,
Majestic Dawn,2008-05-21,51,Aipom,
Majestic Dawn,2008-05-21,52,Bronzor,
Majestic Dawn,2008-05-21,53,Buneary,
Majestic Dawn,2008-05-21,54,Burmy Sandy Cloak,
Majestic Dawn,2008-05-21,55,Chatot,
Majestic Dawn,2008-05-21,56,Chimchar,
Majestic Dawn,2008-05-21,57,Chimchar,
Majestic Dawn,2008-05-21,58,Chingling,
Majestic Dawn,2008-05-21,59,Combee,
Majestic Dawn,2008-05-21,60,Croagunk,
Majestic Dawn,2008-05-21,61,Drifloon,
Majestic Dawn,2008-05-21,62,Eevee,
Majestic Dawn,2008-05-21,63,Eevee,
Majestic Dawn,2008-05-21,64,Electrike,
Majestic Dawn,2008-05-21,65,Glameow,
Majestic Dawn,2008-05-21,66,Hippopotas,
Majestic Dawn,2008-05-21,67,Kabuto,
Majestic Dawn,2008-05-21,68,Munchlax,
Majestic Dawn,2008-05-21,69,Omanyte,
Majestic Dawn,2008-05-21,70,Pikachu,
Majestic Dawn,2008-05-21,71,Piplup,
Majestic Dawn,2008-05-21,72,Piplup,
Majestic Dawn,2008-05-21,73,Shellos East Sea,
Majestic Dawn,2008-05-21,74,Spearow,
Majestic Dawn,2008-05-21,75,Starly,
Majestic Dawn,2008-05-21,76,Stunky,
Majestic Dawn,2008-05-21,77,Turtwig,
Majestic Dawn,2008-05-21,78,Turtwig,
Majestic Dawn,2008-05-21,79,Dawn Stadium,
Majestic Dawn,2008-05-21,80,Dusk Ball,
Majestic Dawn,2008-05-21,81,Energy Restore,
Majestic Dawn,2008-05-21,82,Fossil Excavator,
Majestic Dawn,2008-05-21,83,Mom's Kindness,
Majestic Dawn,2008-05-21,84,Old Amber,
Majestic Dawn,2008-05-21,85,Poké Ball,
Majestic Dawn,2008-05-21,86,Quick Ball,
Majestic Dawn,2008-05-21,87,Super Scoop Up,
Majestic Dawn,2008-05-21,88,Warp Point,
Majestic Dawn,2008-05-21,89,Dome Fossil,
Majestic Dawn,2008-05-21,90,Energy Search,
Majestic Dawn,2008-05-21,91,Helix Fossil,
Majestic Dawn,2008-05-21,92,Call Energy,
Majestic Dawn,2008-05-21,93,Darkness Energy,
Majestic Dawn,2008-05-21,94,Health Energy,
Majestic Dawn,2008-05-21,95,Metal Energy,
Majestic Dawn,2008-05-21,96,Recover Energy,
Majestic Dawn,2008-05-21,97,Garchomp LV. X,
Majestic Dawn,2008-05-21,98,Glaceon LV. X,
Majestic Dawn,2008-05-21,99,Leafeon LV. X,
Majestic Dawn,2008-05-21,100,Porygon-Z LV. X,
