set_name,english_release_date,card_number,card_name,rarity
Mysterious Treasures,2007-08-01,1,Aggron,
Mysterious Treasures,2007-08-01,2,Alakazam,
Mysterious Treasures,2007-08-01,3,Ambipom,
Mysterious Treasures,2007-08-01,4,Azelf,
Mysterious Treasures,2007-08-01,5,Blissey,
Mysterious Treasures,2007-08-01,6,Bronzong,
Mysterious Treasures,2007-08-01,7,Celebi,
Mysterious Treasures,2007-08-01,8,Feraligatr,
Mysterious Treasures,2007-08-01,9,Garchomp,
Mysterious Treasures,2007-08-01,10,Honchkrow,
Mysterious Treasures,2007-08-01,11,Lumineon,
Mysterious Treasures,2007-08-01,12,Magmortar,
Mysterious Treasures,2007-08-01,13,Meganium,
Mysterious Treasures,2007-08-01,14,Mesprit,
Mysterious Treasures,2007-08-01,15,Raichu,
Mysterious Treasures,2007-08-01,16,Typhlosion,
Mysterious Treasures,2007-08-01,17,Tyranitar,
Mysterious Treasures,2007-08-01,18,Uxie,
Mysterious Treasures,2007-08-01,19,Abomasnow,
Mysterious Treasures,2007-08-01,20,Ariados,
Mysterious Treasures,2007-08-01,21,Bastiodon,
Mysterious Treasures,2007-08-01,22,Chimecho,
Mysterious Treasures,2007-08-01,23,Crobat,
Mysterious Treasures,2007-08-01,24,Exeggutor,
Mysterious Treasures,2007-08-01,25,Glalie,
Mysterious Treasures,2007-08-01,26,Gyarados,
Mysterious Treasures,2007-08-01,27,Kricketune,
Mysterious Treasures,2007-08-01,28,Manectric,
Mysterious Treasures,2007-08-01,29,Mantine,
Mysterious Treasures,2007-08-01,30,Mr. Mime,
Mysterious Treasures,2007-08-01,31,Nidoqueen,
Mysterious Treasures,2007-08-01,32,Ninetales,
Mysterious Treasures,2007-08-01,33,Rampardos,
Mysterious Treasures,2007-08-01,34,Slaking,
Mysterious Treasures,2007-08-01,35,Sudowoodo,
Mysterious Treasures,2007-08-01,36,Toxicroak,
Mysterious Treasures,2007-08-01,37,Unown I,
Mysterious Treasures,2007-08-01,38,Ursaring,
Mysterious Treasures,2007-08-01,39,Walrein,
Mysterious Treasures,2007-08-01,40,Whiscash,
Mysterious Treasures,2007-08-01,41,Bayleef,
Mysterious Treasures,2007-08-01,42,Chingling,
Mysterious Treasures,2007-08-01,43,Cranidos,
Mysterious Treasures,2007-08-01,44,Croconaw,
Mysterious Treasures,2007-08-01,45,Dewgong,
Mysterious Treasures,2007-08-01,46,Dodrio,
Mysterious Treasures,2007-08-01,47,Dunsparce,
Mysterious Treasures,2007-08-01,48,Gabite,
Mysterious Treasures,2007-08-01,49,Girafarig,
Mysterious Treasures,2007-08-01,50,Golbat,
Mysterious Treasures,2007-08-01,51,Graveler,
Mysterious Treasures,2007-08-01,52,Happiny,
Mysterious Treasures,2007-08-01,53,Lairon,
Mysterious Treasures,2007-08-01,54,Magmar,
Mysterious Treasures,2007-08-01,55,Masquerain,
Mysterious Treasures,2007-08-01,56,Nidorina,
Mysterious Treasures,2007-08-01,57,Octillery,
Mysterious Treasures,2007-08-01,58,Parasect,
Mysterious Treasures,2007-08-01,59,Pupitar,
Mysterious Treasures,2007-08-01,60,Quilava,
Mysterious Treasures,2007-08-01,61,Sandslash,
Mysterious Treasures,2007-08-01,62,Sealeo,
Mysterious Treasures,2007-08-01,63,Shieldon,
Mysterious Treasures,2007-08-01,64,Tropius,
Mysterious Treasures,2007-08-01,65,Unown E,
Mysterious Treasures,2007-08-01,66,Unown M,
Mysterious Treasures,2007-08-01,67,Unown T,
Mysterious Treasures,2007-08-01,68,Vigoroth,
Mysterious Treasures,2007-08-01,69,Abra,
Mysterious Treasures,2007-08-01,70,Aipom,
Mysterious Treasures,2007-08-01,71,Aron,
Mysterious Treasures,2007-08-01,72,Barboach,
Mysterious Treasures,2007-08-01,73,Bidoof,
Mysterious Treasures,2007-08-01,74,Bronzor,
Mysterious Treasures,2007-08-01,75,Buizel,
Mysterious Treasures,2007-08-01,76,Chansey,
Mysterious Treasures,2007-08-01,77,Chikorita,
Mysterious Treasures,2007-08-01,78,Croagunk,
Mysterious Treasures,2007-08-01,79,Cyndaquil,
Mysterious Treasures,2007-08-01,80,Doduo,
Mysterious Treasures,2007-08-01,81,Electrike,
Mysterious Treasures,2007-08-01,82,Exeggcute,
Mysterious Treasures,2007-08-01,83,Finneon,
Mysterious Treasures,2007-08-01,84,Geodude,
Mysterious Treasures,2007-08-01,85,Gible,
Mysterious Treasures,2007-08-01,86,Kricketot,
Mysterious Treasures,2007-08-01,87,Larvitar,
Mysterious Treasures,2007-08-01,88,Magby,
Mysterious Treasures,2007-08-01,89,Magikarp,
Mysterious Treasures,2007-08-01,90,Murkrow,
Mysterious Treasures,2007-08-01,91,Nidoran F,
Mysterious Treasures,2007-08-01,92,Paras,
Mysterious Treasures,2007-08-01,93,Pichu,
Mysterious Treasures,2007-08-01,94,Pikachu,
Mysterious Treasures,2007-08-01,95,Remoraid,
Mysterious Treasures,2007-08-01,96,Sandshrew,
Mysterious Treasures,2007-08-01,97,Seel,
Mysterious Treasures,2007-08-01,98,Shinx,
Mysterious Treasures,2007-08-01,99,Slakoth,
Mysterious Treasures,2007-08-01,100,Snorunt,
Mysterious Treasures,2007-08-01,101,Snover,
Mysterious Treasures,2007-08-01,102,Spheal,
Mysterious Treasures,2007-08-01,103,Spinarak,
Mysterious Treasures,2007-08-01,104,Surskit,
Mysterious Treasures,2007-08-01,105,Teddiursa,
Mysterious Treasures,2007-08-01,106,Totodile,
Mysterious Treasures,2007-08-01,107,Vulpix,
Mysterious Treasures,2007-08-01,108,Zubat,
Mysterious Treasures,2007-08-01,109,Bebe's Search,
Mysterious Treasures,2007-08-01,110,Dusk Ball,
Mysterious Treasures,2007-08-01,111,Fossil Excavator,
Mysterious Treasures,2007-08-01,112,Lake Boundary,
