set_name,english_release_date,card_number,card_name,rarity
Stormfront,2008-11-05,1,Dusknoir,
Stormfront,2008-11-05,2,Empoleon,
Stormfront,2008-11-05,3,Infernape,
Stormfront,2008-11-05,4,Lumineon,
Stormfront,2008-11-05,5,Magnezone,
Stormfront,2008-11-05,6,Magnezone,
Stormfront,2008-11-05,7,Mismagius,
Stormfront,2008-11-05,8,Raichu,
Stormfront,2008-11-05,9,Regigigas,
Stormfront,2008-11-05,10,Sceptile,
Stormfront,2008-11-05,11,Torterra,
Stormfront,2008-11-05,12,Abomasnow,
Stormfront,2008-11-05,13,Bronzong,
Stormfront,2008-11-05,14,Cherrim,
Stormfront,2008-11-05,15,Drapion,
Stormfront,2008-11-05,16,Drifblim,
Stormfront,2008-11-05,17,Dusknoir,
Stormfront,2008-11-05,18,Gengar,
Stormfront,2008-11-05,19,Gyarados,
Stormfront,2008-11-05,20,Machamp,
Stormfront,2008-11-05,21,Mamoswine,
Stormfront,2008-11-05,22,Rapidash,
Stormfront,2008-11-05,23,Roserade,
Stormfront,2008-11-05,24,Salamence,
Stormfront,2008-11-05,25,Scizor,
Stormfront,2008-11-05,26,Skuntank,
Stormfront,2008-11-05,27,Staraptor,
Stormfront,2008-11-05,28,Steelix,
Stormfront,2008-11-05,29,Tangrowth,
Stormfront,2008-11-05,30,Tyranitar,
Stormfront,2008-11-05,31,Vespiquen,
Stormfront,2008-11-05,32,Bibarel,
Stormfront,2008-11-05,33,Budew,
Stormfront,2008-11-05,34,Dusclops,
Stormfront,2008-11-05,35,Dusclops,
Stormfront,2008-11-05,36,Electrode,
Stormfront,2008-11-05,37,Electrode,
Stormfront,2008-11-05,38,Farfetch'd,
Stormfront,2008-11-05,39,Grovyle,
Stormfront,2008-11-05,40,Haunter,
Stormfront,2008-11-05,41,Machoke,
Stormfront,2008-11-05,42,Magneton,
Stormfront,2008-11-05,43,Magneton,
Stormfront,2008-11-05,44,Miltank,
Stormfront,2008-11-05,45,Pichu,
Stormfront,2008-11-05,46,Piloswine,
Stormfront,2008-11-05,47,Pupitar,
Stormfront,2008-11-05,48,Sableye,
Stormfront,2008-11-05,49,Scyther,
Stormfront,2008-11-05,50,Shelgon,
Stormfront,2008-11-05,51,Skarmory,
Stormfront,2008-11-05,52,Staravia,
Stormfront,2008-11-05,53,Bagon,
Stormfront,2008-11-05,54,Bidoof,
Stormfront,2008-11-05,55,Bronzor,
Stormfront,2008-11-05,56,Cherubi,
Stormfront,2008-11-05,57,Combee,
Stormfront,2008-11-05,58,Drifloon,
Stormfront,2008-11-05,59,Duskull,
Stormfront,2008-11-05,60,Duskull,
Stormfront,2008-11-05,61,Finneon,
Stormfront,2008-11-05,62,Gastly,
Stormfront,2008-11-05,63,Larvitar,
Stormfront,2008-11-05,64,Machop,
Stormfront,2008-11-05,65,Magikarp,
Stormfront,2008-11-05,66,Magnemite,
Stormfront,2008-11-05,67,Magnemite,
Stormfront,2008-11-05,68,Misdreavus,
Stormfront,2008-11-05,69,Onix,
Stormfront,2008-11-05,70,Pikachu,
Stormfront,2008-11-05,71,Ponyta,
Stormfront,2008-11-05,72,Roselia,
Stormfront,2008-11-05,73,Skorupi,
Stormfront,2008-11-05,74,Snover,
Stormfront,2008-11-05,75,Starly,
Stormfront,2008-11-05,76,Stunky,
Stormfront,2008-11-05,77,Swinub,
Stormfront,2008-11-05,78,Tangela,
Stormfront,2008-11-05,79,Treecko,
Stormfront,2008-11-05,80,Voltorb,
Stormfront,2008-11-05,81,Voltorb,
Stormfront,2008-11-05,82,Conductive Quarry,
Stormfront,2008-11-05,83,Energy Link,
Stormfront,2008-11-05,84,Energy Switch,
Stormfront,2008-11-05,85,Great Ball,
Stormfront,2008-11-05,86,Luxury Ball,
Stormfront,2008-11-05,87,Marley's Request,
Stormfront,2008-11-05,88,Poké Blower +,
Stormfront,2008-11-05,89,Poké Drawer +,
Stormfront,2008-11-05,90,Poké Healer +,
Stormfront,2008-11-05,91,Premier Ball,
Stormfront,2008-11-05,92,Potion,
Stormfront,2008-11-05,93,Switch,
Stormfront,2008-11-05,94,Cyclone Energy,
Stormfront,2008-11-05,95,Warp Energy,
Stormfront,2008-11-05,96,Dusknoir LV. X,
Stormfront,2008-11-05,97,Heatran LV. X,
Stormfront,2008-11-05,98,Machamp LV. X,
Stormfront,2008-11-05,99,Raichu LV. X,
Stormfront,2008-11-05,100,Regigigas LV. X,
Stormfront,2008-11-05,SH1,Drifloon,
Stormfront,2008-11-05,SH2,Duskull,
Stormfront,2008-11-05,SH3,Voltorb,
